,,,,,,GPS START,,,ELECTROFISHING POSITION,,,TOTAL ,,,,
TRIBUTARY,REACH,DATE,TIME,AIR TEMP,H2O TEMP,X,Y,SAMPLERS,START,STOP,SPECIES,LENGTH,WEIGHT,GENETICS,PASS NO.,COMMENTS
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,108,9,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,120,16,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,98,9,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,163,44,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,198,92,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,0,2005,BKT,50,2,,1,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,51,2,,1,22 SCU IN THE FIRST PASS
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,97,9,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,80,6,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,155,45,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,110,12,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,129,20,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,119,15,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,112,14,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,216,90,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,156,38,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,170,46,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,155,36,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,BKT,119,17,,2,
Big Creek,3,7/30/13,930,20,,48.32094,116.82425,TA TS TR,2005,3389,WCT,122,18,,2,
